# MCMC Posterior Means:
Amplitude: 0.3132
Mean: 5223.7810
Sigma: 11.1974
Polynomial Coefficients: [-3.6741208086082407e-09, 5.856644969783767e-05, -0.31108811214479404, 550.8040616507201]
Chi2: 9.5275e+01
Chi2_nu: 4.0031e-01

# Wavelength  TotalFit  Gaussian  Continuum
5325.354460  0.179078  0.000000  0.179078
5327.298079  0.179269  0.000000  0.179269
5329.241698  0.179459  0.000000  0.179459
5331.185317  0.179647  0.000000  0.179647
5333.128936  0.179834  0.000000  0.179834
5335.072555  0.180020  0.000000  0.180020
5337.016174  0.180203  0.000000  0.180203
5338.959793  0.180385  0.000000  0.180385
5340.903412  0.180564  0.000000  0.180564
5342.847031  0.180741  0.000000  0.180741
5344.790650  0.180916  0.000000  0.180916
5346.734269  0.181088  0.000000  0.181088
5348.677888  0.181257  0.000000  0.181257
5350.621507  0.181424  0.000000  0.181424
5352.565126  0.181587  0.000000  0.181587
5354.508745  0.181747  0.000000  0.181747
5356.452364  0.181904  0.000000  0.181904
5358.395983  0.182057  0.000000  0.182057
5360.339602  0.182206  0.000000  0.182206
5362.283221  0.182351  0.000000  0.182351
5364.226840  0.182493  0.000000  0.182493
5366.170459  0.182630  0.000000  0.182630
5368.114078  0.182762  0.000000  0.182762
5370.057697  0.182891  0.000000  0.182891
5372.001316  0.183014  0.000000  0.183014
5373.944935  0.183133  0.000000  0.183133
5375.888554  0.183246  0.000000  0.183246
5377.832173  0.183354  0.000000  0.183354
5379.775792  0.183457  0.000000  0.183457
5381.719412  0.183555  0.000000  0.183555
5383.663031  0.183646  0.000000  0.183646
5385.606650  0.183732  0.000000  0.183732
5387.550269  0.183812  0.000000  0.183812
5389.493888  0.183886  0.000000  0.183886
5391.437507  0.183953  0.000000  0.183953
5393.381126  0.184014  0.000000  0.184014
5395.324745  0.184068  0.000000  0.184068
5397.268364  0.184116  0.000000  0.184116
5399.211983  0.184156  0.000000  0.184156
5401.155602  0.184189  0.000000  0.184189
5403.099221  0.184215  0.000000  0.184215
5405.042840  0.184234  0.000000  0.184234
5406.986459  0.184244  0.000000  0.184244
5408.930078  0.184247  0.000000  0.184247
5410.873697  0.184243  0.000000  0.184243
5412.817316  0.184229  0.000000  0.184229
5414.760935  0.184208  0.000000  0.184208
5416.704554  0.184178  0.000000  0.184178
5418.648173  0.184140  0.000000  0.184140
5420.591792  0.184093  0.000000  0.184093
5422.535411  0.184037  0.000000  0.184037
5424.479030  0.183972  0.000000  0.183972
5426.422649  0.183897  0.000000  0.183897
5428.366268  0.183814  0.000000  0.183814
5430.309887  0.183720  0.000000  0.183720
5432.253506  0.183617  0.000000  0.183617
5434.197125  0.183504  0.000000  0.183504
5436.140744  0.183381  0.000000  0.183381
5438.084363  0.183248  0.000000  0.183248
5440.027983  0.183104  0.000000  0.183104
5441.971602  0.182950  0.000000  0.182950
5443.915221  0.182785  0.000000  0.182785
5445.858840  0.182609  0.000000  0.182609
5447.802459  0.182423  0.000000  0.182423
5449.746078  0.182225  0.000000  0.182225
5451.689697  0.182015  0.000000  0.182015
5453.633316  0.181795  0.000000  0.181795
5455.576935  0.181562  0.000000  0.181562
5457.520554  0.181318  0.000000  0.181318
5459.464173  0.181061  0.000000  0.181061
5461.407792  0.180793  0.000000  0.180793
5463.351411  0.180512  0.000000  0.180512
5465.295030  0.180219  0.000000  0.180219
5467.238649  0.179913  0.000000  0.179913
5469.182268  0.179594  0.000000  0.179594
